vdc,ward,parcel_id,Landuse
देवाही,2,90,कृषि क्षेत्र
देवाही,2,447,आवासीय क्षेत्र
देवाही,2,450,कृषि क्षेत्र
देवाही,2,1417,कृषि क्षेत्र
देवाही,2,1420,कृषि क्षेत्र
देवाही,2,1491,कृषि क्षेत्र
देवाही,3,8,आवासीय क्षेत्र
देवाही,3,9,आवासीय क्षेत्र
देवाही,3,10,आवासीय क्षेत्र
देवाही,3,12,आवासीय क्षेत्र
देवाही,3,13,आवासीय क्षेत्र
देवाही,3,14,आवासीय क्षेत्र
देवाही,3,22,आवासीय क्षेत्र
देवाही,3,300,आवासीय क्षेत्र
देवाही,3,303,आवासीय क्षेत्र
देवाही,3,304,आवासीय क्षेत्र
देवाही,3,305,आवासीय क्षेत्र
देवाही,3,309,आवासीय क्षेत्र
देवाही,3,310,आवासीय क्षेत्र
देवाही,3,311,आवासीय क्षेत्र
देवाही,3,312,आवासीय क्षेत्र
देवाही,3,313,आवासीय क्षेत्र
देवाही,3,314,आवासीय क्षेत्र
देवाही,3,315,आवासीय क्षेत्र
देवाही,3,316,आवासीय क्षेत्र
देवाही,3,317,आवासीय क्षेत्र
देवाही,3,320,आवासीय क्षेत्र
देवाही,3,321,आवासीय क्षेत्र
देवाही,3,323,आवासीय क्षेत्र
देवाही,3,325,आवासीय क्षेत्र
देवाही,3,326,आवासीय क्षेत्र
देवाही,3,329,आवासीय क्षेत्र
देवाही,3,331,आवासीय क्षेत्र
देवाही,3,407,आवासीय क्षेत्र
देवाही,3,408,आवासीय क्षेत्र
देवाही,3,605,आवासीय क्षेत्र
देवाही,3,607,"नदी, खोला, ताल, सिमसार क्षेत्र"
देवाही,3,628,आवासीय क्षेत्र
देवाही,3,629,आवासीय क्षेत्र
देवाही,3,630,आवासीय क्षेत्र
देवाही,3,660,आवासीय क्षेत्र
देवाही,3,661,आवासीय क्षेत्र
देवाही,3,663,आवासीय क्षेत्र
देवाही,3,664,आवासीय क्षेत्र
देवाही,3,665,आवासीय क्षेत्र
देवाही,3,703,आवासीय क्षेत्र
देवाही,3,706,आवासीय क्षेत्र
देवाही,3,746,आवासीय क्षेत्र
देवाही,3,747,आवासीय क्षेत्र
देवाही,3,879,आवासीय क्षेत्र
देवाही,3,880,आवासीय क्षेत्र
देवाही,3,881,आवासीय क्षेत्र
देवाही,3,882,आवासीय क्षेत्र
देवाही,3,883,आवासीय क्षेत्र
देवाही,3,884,आवासीय क्षेत्र
देवाही,3,885,आवासीय क्षेत्र
देवाही,3,886,आवासीय क्षेत्र
देवाही,3,916,आवासीय क्षेत्र
देवाही,3,917,आवासीय क्षेत्र
देवाही,3,918,आवासीय क्षेत्र
देवाही,3,919,आवासीय क्षेत्र
देवाही,3,1093,आवासीय क्षेत्र
देवाही,3,1094,आवासीय क्षेत्र
देवाही,3,510563,आवासीय क्षेत्र
देवाही,3,510702,आवासीय क्षेत्र
देवाही,4,511,कृषि क्षेत्र
देवाही,4,512,आवासीय क्षेत्र
देवाही,4,562,आवासीय क्षेत्र
देवाही,4,563,आवासीय क्षेत्र
देवाही,4,564,कृषि क्षेत्र
देवाही,4,565,कृषि क्षेत्र
देवाही,4,566,कृषि क्षेत्र
देवाही,4,567,कृषि क्षेत्र
देवाही,5,124,कृषि क्षेत्र
देवाही,5,125,कृषि क्षेत्र
देवाही,5,126,कृषि क्षेत्र
देवाही,5,127,आवासीय क्षेत्र
देवाही,5,136,"नदी, खोला, ताल, सिमसार क्षेत्र"
देवाही,5,145,आवासीय क्षेत्र
देवाही,5,146,आवासीय क्षेत्र
देवाही,5 ख,15,आवासीय क्षेत्र
देवाही,5 ख,18,आवासीय क्षेत्र
देवाही,5 ख,20,आवासीय क्षेत्र
देवाही,5 ख,26,आवासीय क्षेत्र
देवाही,5 ख,28,आवासीय क्षेत्र
देवाही,5 ख,29,आवासीय क्षेत्र
देवाही,5 ख,30,आवासीय क्षेत्र
देवाही,5 ख,31,आवासीय क्षेत्र
देवाही,5 ख,32,आवासीय क्षेत्र
देवाही,5 ख,33,आवासीय क्षेत्र
देवाही,5 ख,35,आवासीय क्षेत्र
देवाही,5 ख,36,आवासीय क्षेत्र
देवाही,5 ख,37,आवासीय क्षेत्र
देवाही,5 ख,38,आवासीय क्षेत्र
देवाही,5 ख,39,आवासीय क्षेत्र
देवाही,5 ख,40,आवासीय क्षेत्र
देवाही,5 ख,41,आवासीय क्षेत्र
देवाही,5 ख,42,आवासीय क्षेत्र
देवाही,5 ख,43,आवासीय क्षेत्र
देवाही,5 ख,44,आवासीय क्षेत्र
देवाही,5 ख,45,आवासीय क्षेत्र
